303.5	-0.0015039
303.55	0.0048162
303.6	0.0011955
303.65	0.0039969
303.7	0.0028366
303.75	4.6799e-06
303.8	0.0016748
303.85	0.006407
303.91	-0.0026767
303.96	0.0025354
304.01	0.0042568
304.06	0.0027291
304.11	0.011343
304.16	0.011666
304.21	0.016685
304.26	0.023919
304.31	0.044513
304.36	0.05563
304.41	0.077671
304.46	0.091565
304.51	0.10988
304.56	0.12138
304.62	0.12865
304.67	0.12168
304.72	0.099948
304.77	0.061522
304.82	-0.013549
304.87	-0.096172
304.92	-0.20151
304.97	-0.28463
305.02	-0.35883
305.07	-0.37723
305.12	-0.36159
305.17	-0.3026
305.22	-0.17672
305.27	-0.024663
305.32	0.17016
305.38	0.34585
305.43	0.41398
305.48	0.40724
305.53	0.34087
305.58	0.21844
305.63	0.10351
305.68	0.026754
305.73	-0.02374
305.78	-0.037267
305.83	-0.0272
305.88	-0.013046
305.94	-0.0069407
305.99	-0.00015351
306.04	-0.011294
306.09	-0.024433
306.14	-0.023875
306.19	-0.018249
306.24	-0.0074866
306.29	0.0098766
306.34	0.0068149
306.39	0.0085613
306.44	0.0063576
306.49	-0.005851
306.54	-0.0032922
306.6	-0.011877
306.64	-0.0079613
306.7	-0.0051235
306.75	0.0087789
306.8	0.015524
306.85	0.028911
306.9	0.031172
306.95	0.025955
307	0.020111
